Nome do jogo;Gênero;Desenvolvedora;Console;Data de conclusão;Tempo (em float);Ano de lançamento
A Lenda do Her�i;Plataforma;Dumativa Studios;PC;17/10/22;7;2016
Streets of Kamurocho;Beat 'em Up;SEGA;PC;26/10/22;0,17;2020
Disney's The Little Mermaid;Plataforma;Capcom;Nintendo 8-bits;26/10/22;0,53;1991
Chiki Chiki Boys;Plataforma;Capcom;Sega MegaDrive;01/11/22;1;1990
Katana ZERO;Plataforma;Askiisoft;PC;09/11/22;4,33;2019
Naruto: Ninja Council;Plataforma;TOMY;Gameboy Advanced;11/11/22;1,5;2010
The Outfoxies;Luta;Namco Bandai;Arcade;12/11/22;1,33;1995
Dungeons & Dragons: Shadow Over Mystara;Beat 'em Up;Capcom;Arcade;16/11/22;1;1996
Dungeons & Dragons: Tower of Doom;Beat 'em Up;Capcom;Arcade;16/11/22;1;1994
Warrior Blade: Rastan Saga Episode III;Beat 'em Up;Taito;Arcade;17/11/22;0,83;1991
Golden Axe: The Revenge of Death-Adder;Beat 'em Up;SEGA;Arcade;17/11/22;1;1992
Alien Vs. Predator;Beat 'em Up;Capcom;Arcade;17/11/22;1;1994
Days Gone;Survival Horror;Bend Studios;PC;22/11/22;38,42;2019
Street Fighter II - The World Warriors (Capcom Arcade Stadium);Luta;Capcom;Arcade;30/11/22;1;1991
1943: The Battle of Midway (Capcom Arcade Stadium);Shmup;Capcom;Arcade;30/11/22;1,33;1987
Ghost'n Goblins (Capcom Arcade Stadium);Plataforma;Capcom;Arcade;01/12/22;1,25;1985
Hanna Barbera Turbo Toons;Corrida;Empire Software;Super Nintendo;02/12/22;0,17;1994
Tekken ;Luta;Namco Bandai;PlayStation;02/12/22;0,38;1994
Virtua Fighter 2;Luta;SEGA;Sega MegaDrive;02/12/22;0,53;1993
Dead or Alive;Luta;Tecmo;PlayStation;03/12/22;0,38;1996
Bushido Blade;Luta;Square Enix;PlayStation;03/12/22;0,25;1997
Soul Edge (Blade);Luta;Namco Bandai;PlayStation;03/12/22;0,3;1995
Mortal Kombat 4;Luta;Midway;PlayStation;04/12/22;0,33;1997
Golden Axed: A Cancelled Prototype ;Beat 'em Up;SEGA;PC;04/12/22;0,08;2020
Alex Kidd in the Enchanted Castle (SEGA Classics);Plataforma;SEGA;Sega MegaDrive;05/12/22;1;1989
Alien Storm (SEGA Classics);Beat 'em Up;Treasure;Sega MegaDrive;07/12/22;1;1990
Streets of Rage (SEGA Classics);Beat 'em Up;SEGA;Sega MegaDrive;08/12/22;1;1991
Streets of Rage 2 (SEGA Classics);Beat 'em Up;SEGA;Sega MegaDrive;09/12/22;1;1992
